,Rank,Name,2020 Population,2019 Population,Change
342,343,Joao Pessoa,1378249,1362689,1.14%
343,344,Amritsar,1377371,1355875,1.59%
344,345,Basra,1352210,1324763,2.07%
345,346,Taizhou Jiangsu,1348056,1314590,2.55%
346,347,Copenhagen,1346485,1333888,0.94%
347,348,Queretaro,1339103,1313522,1.95%
348,349,Taian Shandong,1338828,1314249,1.87%
349,350,Adelaide,1336403,1328119,0.62%
350,351,Homs,1335804,1314355,1.63%
351,352,Yiwu,1334356,1280711,4.19%
352,353,Bucaramanga,1331453,1313376,1.38%
353,354,Dhanbad,1331186,1316066,1.15%
354,355,Konya,1328136,1299368,2.21%
355,356,Maceio,1323039,1308693,1.10%
356,357,Taizhong,1320591,1302252,1.41%
357,358,Nouakchott,1314636,1258973,4.42%
358,359,Porto,1312947,1309805,0.24%
359,360,Suweon,1311321,1288887,1.74%
360,361,Samut Prakan,1306937,1289380,1.36%
361,362,Prague,1305737,1298804,0.53%
362,363,Helsinki,1304851,1292232,0.98%
363,364,Weihai,1304315,1260012,3.52%
364,365,Cochabamba,1303907,1270649,2.62%
365,366,Joinville,1303141,1286622,1.28%
366,367,Ho Chi Minh City,1300088,1259429,3.23%
367,368,Mombasa,1295975,1253811,3.36%
368,369,Niamey,1291848,1251511,3.22%
369,370,Qom,1287937,1264584,1.85%
370,371,Zhanjiang,1286854,1258677,2.24%
371,372,Fushun Liaoning,1285387,1285571,-0.01%
372,373,Ganzhou,1285039,1221386,5.21%
373,374,Sofia,1280968,1276937,0.32%
374,375,Zunyi,1280960,1248480,2.60%
375,376,Dongying,1276028,1240313,2.88%
376,377,Mianyang Sichuan,1275851,1251619,1.94%
377,378,Kaifeng,1274287,1230265,3.58%
378,379,Kazan,1272063,1263412,0.68%
379,380,Rizhao,1270948,1228374,3.47%
380,381,Kisangani,1261310,1213000,3.98%
381,382,Jiaxing,1259844,1199747,5.01%
382,383,Nizhniy Novgorod,1257754,1260885,-0.25%
383,384,Nanchong,1257726,1215280,3.49%
384,385,Bareilly,1255287,1225034,2.47%
385,386,Antalya,1253872,1219140,2.85%
386,387,Port Elizabeth,1253742,1241941,0.95%
387,388,Ad Dammam,1252523,1225235,2.23%
388,389,Ahvaz,1244250,1227916,1.33%
389,390,Shiyan,1241450,1201843,3.30%
390,391,Florianopolis,1239331,1218478,1.71%
391,392,Dublin,1228179,1214666,1.11%
392,393,Chelyabinsk,1227795,1222108,0.47%
393,394,Fes,1224080,1203655,1.70%
394,395,San Luis Potosi,1216564,1197894,1.56%
395,396,Barquisimeto,1214362,1201421,1.08%
396,397,Pointe Noire,1214281,1175513,3.30%
397,398,Yingkou,1214047,1175701,3.26%
398,399,Aligarh,1210554,1176576,2.89%
399,400,Mysore,1209836,1185469,2.06%
400,401,Durg Bhilainagar,1207637,1191681,1.34%
401,402,Pekan Baru,1204883,1171388,2.86%
402,403,Maoming,1204716,1170342,2.94%
403,404,Maracay,1203227,1190295,1.09%
404,405,Freetown,1201900,1168424,2.87%
405,406,Tanger,1197923,1156739,3.56%
406,407,Moradabad,1197000,1161757,3.03%
407,408,Liuan,1195907,1129312,5.90%
408,409,Tengzhou,1189963,1142079,4.19%
409,410,Zhuzhou,1186912,1165486,1.84%
410,411,Omsk,1182339,1183262,-0.08%
411,412,Zhenjiang Jiangsu,1173816,1148451,2.21%
412,413,Mendoza,1172619,1153152,1.69%
413,414,Suzhou Anhui,1169932,1119054,4.55%
414,415,Liuyang,1169044,1094294,6.83%
415,416,Ruian,1168983,1128967,3.54%
416,417,Chiang Mai,1166978,1151301,1.36%
417,418,Astana,1165983,1117621,4.33%
418,419,Tripoli,1165085,1160918,0.36%
419,420,Chifeng,1164793,1134936,2.63%
420,421,Tiruchirappalli,1164668,1148865,1.38%
