,Name,City,Country,IATA,Lat,Long,city_population,country_population,country_density,source_airport,destination_flights,flights_coefficient
4303,Heihe Airport,Heihe,China,HEK,50.1716209371,127.308883667,78301.0,1433783686.0,147.7068,HEK,185.0,423.24810425698024
4304,Jiamusi Airport,Jiamusi,China,JMU,46.84339904789999,130.464996338,715965.0,1433783686.0,147.7068,JMU,450.0,423.24810425698024
4305,Jinzhou Airport,Jinzhou,China,JNZ,41.10139846801758,121.06199645996094,1145359.0,1433783686.0,147.7068,JNZ,78.0,423.24810425698024
4306,Qiqihar Sanjiazi Airport,Qiqihar,China,NDG,47.239601135253906,123.91799926757812,59255.0,1433783686.0,147.7068,NDG,140.0,423.24810425698024
4307,Yanji Chaoyangchuan Airport,Yanji,China,YNJ,42.8828010559,129.451004028,695165.0,1433783686.0,147.7068,YNJ,1062.0,423.24810425698024
4315,Worcester Regional Airport,Worcester,United States,ORH,42.26729965209961,-71.87570190429688,4867.0,329064917.0,35.1092,ORH,58.0,83.9063031819231
4316,Anqing Tianzhushan Airport,Anqing,China,AQG,30.582199,117.050003,726950.0,1433783686.0,147.7068,AQG,90.0,423.24810425698024
4317,Shanhaiguan Airport,Qinhuangdao,China,SHP,39.968102,119.731003,1535223.0,1433783686.0,147.7068,SHP,154.0,423.24810425698024
4318,Yuncheng Guangong Airport,Yuncheng,China,YCU,35.116391,111.031388889,675082.0,1433783686.0,147.7068,YCU,714.0,423.24810425698024
4319,Jiayuguan Airport,Jiayuguan,China,JGN,39.856899,98.3414,336493.0,1433783686.0,147.7068,JGN,382.0,423.24810425698024
4320,Dandong Airport,Dandong,China,DDG,40.0247,124.286003,877258.0,1433783686.0,147.7068,DDG,103.0,423.24810425698024
4321,Ordos Ejin Horo Airport,Dongsheng,China,DSN,39.49,109.861388889,216704.0,1433783686.0,147.7068,DSN,512.0,423.24810425698024
4322,Bao'anying Airport,Panzhihua,China,PZI,26.54,101.79852,707134.0,1433783686.0,147.7068,PZI,290.0,423.24810425698024
4327,Provincetown Municipal Airport,Provincetown,United States,PVC,42.071899414099995,-70.2213973999,7300.0,329064917.0,35.1092,PVC,87.0,83.9063031819231
4328,Gustaf III Airport,Gustavia,France,SBH,17.904399871826172,-62.84360122680664,2033419.0,65129728.0,118.0539,SBH,4030.0,504.5702954493632
4331,Donskoye Airport,Tambow,Russia,TBW,52.806098937988,41.482799530029,21871.0,145872256.0,8.5314,TBW,16.0,1366.934472762411
4333,Erechim Airport,Erechim,Brazil,ERM,-27.66189956665039,-52.2682991027832,45070.0,211049527.0,24.7834,ERM,44.0,1024.3017082414608
4337,Navoi Airport,Navoi,Uzbekistan,NVI,40.1171989440918,65.17079925537111,76938.0,32981716.0,73.7186,NVI,30.0,2564.5774155995346
4338,Ain Arnat Airport,Setif,Algeria,QSF,36.178100585900005,5.32449007034,313401.0,43053054.0,18.0763,QSF,67.0,1587.4327485380118
4339,La Rochelle-Île de Ré Airport,La Rochelle,France,LRH,46.17919921875,-1.1952799558639526,51971.0,65129728.0,118.0539,LRH,103.0,504.5702954493632
4342,Phoenix-Mesa-Gateway Airport,Mesa,United States,AZA,33.30780029,-111.6549988,509963.0,329064917.0,35.1092,AZA,378.0,83.9063031819231
4344,Anaktuvuk Pass Airport,Anaktuvuk Pass,United States,AKP,68.13359833,-151.7429962,12167.0,329064917.0,35.1092,AKP,145.0,83.9063031819231
4345,Anvik Airport,Anvik,United States,ANV,62.646702000000005,-160.190994,2434.0,329064917.0,35.1092,ANV,29.0,83.9063031819231
4346,Atqasuk Edward Burnell Sr Memorial Airport,Atqasuk,United States,ATK,70.46730041503906,-157.43600463867188,6629.0,329064917.0,35.1092,ATK,79.0,83.9063031819231
4347,Gambell Airport,Gambell,United States,GAM,63.76679992675781,-171.73300170898438,21481.0,329064917.0,35.1092,GAM,256.0,83.9063031819231
4348,Hooper Bay Airport,Hooper Bay,United States,HPB,61.52389908,-166.1470032,6965.0,329064917.0,35.1092,HPB,83.0,83.9063031819231
4349,Kaltag Airport,Kaltag,United States,KAL,64.31909943,-158.74099730000003,7049.0,329064917.0,35.1092,KAL,84.0,83.9063031819231
4350,St Mary's Airport,St Mary's,United States,KSM,62.0605011,-163.30200200000002,11747.0,329064917.0,35.1092,KSM,140.0,83.9063031819231
4351,Kivalina Airport,Kivalina,United States,KVL,67.73619842529297,-164.56300354003906,9062.0,329064917.0,35.1092,KVL,108.0,83.9063031819231
4352,Mekoryuk Airport,Mekoryuk,United States,MYU,60.37139892578125,-166.27099609375,1846.0,329064917.0,35.1092,MYU,22.0,83.9063031819231
4353,Ruby Airport,Ruby,United States,RBY,64.72720337,-155.47000119999998,12419.0,329064917.0,35.1092,RBY,148.0,83.9063031819231
4354,Shishmaref Airport,Shishmaref,United States,SHH,66.249604,-166.089112,14684.0,329064917.0,35.1092,SHH,175.0,83.9063031819231
4355,Savoonga Airport,Savoonga,United States,SVA,63.6864013671875,-170.4929962158203,21481.0,329064917.0,35.1092,SVA,256.0,83.9063031819231
4356,Noatak Airport,Noatak,United States,WTK,67.56610107421875,-162.97500610351562,13593.0,329064917.0,35.1092,WTK,162.0,83.9063031819231
4358,Puvirnituq Airport,Puvirnituq,Canada,YPX,60.05059814453125,-77.28690338134766,51292.0,37411047.0,3.7468,YPX,118.0,434.67313712085775
4359,Tasiujaq Airport,Tasiujaq,Canada,YTQ,58.66780090332031,-69.95580291748047,30862.0,37411047.0,3.7468,YTQ,71.0,434.67313712085775
4360,Arctic Village Airport,Arctic Village,United States,ARC,68.1147,-145.578995,2014.0,329064917.0,35.1092,ARC,24.0,83.9063031819231
4361,Sam Mbakwe International Airport,Imo,Nigeria,QOW,5.427060127258301,7.2060298919677725,841998.0,200963599.0,217.5477,QOW,216.0,3898.135237861697
4362,Arenal Airport,La Fortuna/San Carlos,Costa Rica,FON,10.478,-84.634499,33968.0,5047561.0,98.7781,FON,87.0,390.4265106587594
4363,Tambor Airport,Nicoya,Costa Rica,TMU,9.73852,-85.013802,271737.0,5047561.0,98.7781,TMU,696.0,390.4265106587594
4364,Cauayan Airport,Cauayan,Philippines,CYZ,16.9298992157,121.752998352,14858.0,108116615.0,315.8045,CYZ,29.0,512.3357199233285
4365,Kirovsk-Apatity Airport,Apatity,Russia,KVK,67.46330261230469,33.58829879760742,39642.0,145872256.0,8.5314,KVK,29.0,1366.934472762411
4366,Coronel Altino Machado de Oliveira Airport,Governador Valadares,Brazil,GVR,-18.89520072937,-41.982200622559,22535.0,211049527.0,24.7834,GVR,22.0,1024.3017082414608
4368,Pajala Airport,Pajala,Sweden,PJA,67.24559783935547,23.06889915466309,25009.0,10036379.0,22.2885,PJA,97.0,257.8237801989578
4369,Bella Coola Airport,Bella Coola,Canada,QBC,52.387501,-126.596001,12171.0,37411047.0,3.7468,QBC,28.0,434.67313712085775
4370,Hagerstown Regional Richard A Henson Field,Hagerstown,United States,HGR,39.707901,-77.72949982,923.0,329064917.0,35.1092,HGR,11.0,83.9063031819231
4371,Araracuara Airport,Araracuara,Colombia,ACR,-0.5833,-72.4083,13330.0,50339443.0,44.0898,ACR,22.0,605.8718741397929
4372,Gorakhpur Airport,Gorakhpur,India,GOP,26.739700317399997,83.44969940189999,758214.0,1366417754.0,415.629,GOP,174.0,622.2069492666269
4373,Sand Point Airport,Sand Point,United States,SDP,55.31499862670898,-160.5229949951172,3692.0,329064917.0,35.1092,SDP,44.0,83.9063031819231
4374,Hami Airport,Hami,China,HMI,42.8414,93.669197,398946.0,1433783686.0,147.7068,HMI,121.0,423.24810425698024
4375,Wuzhou Changzhoudao Airport,Wuzhou,China,WUZ,23.456699,111.248001,696630.0,1433783686.0,147.7068,WUZ,66.0,423.24810425698024
4378,Gorgan Airport,Gorgan,Iran,GBT,36.9094009399,54.4012985229,367950.0,82913906.0,50.3059,GBT,150.0,1956.8082121029527
4379,Ilam Airport,Ilam,Iran,IIL,33.58660125732422,46.40480041503906,211336.0,82913906.0,50.3059,IIL,108.0,1956.8082121029527
4380,Parsabade Moghan Airport,Parsabad,Iran,PFQ,39.60359954834,47.881500244140994,43050.0,82913906.0,50.3059,PFQ,22.0,1956.8082121029527
4381,Tacheng Airport,Tacheng,China,TCG,46.67250061035156,83.3407974243164,101580.0,1433783686.0,147.7068,TCG,240.0,423.24810425698024
4382,Mardin Airport,Mardin,Turkey,MQM,37.2233009338,40.6316986084,98680.0,83429615.0,106.4748,MQM,90.0,1096.4350212423928
4384,Deering Airport,Deering,United States,DRG,66.0696029663,-162.76600647,18124.0,329064917.0,35.1092,DRG,216.0,83.9063031819231
4385,Leon Airport,Leon,Spain,LEN,42.5890007019043,-5.65556001663208,6480.0,46736776.0,92.3666,LEN,20.0,323.9666097461155
4386,Burgos Airport,Burgos,Spain,RGS,42.357601,-3.62076,3888.0,46736776.0,92.3666,RGS,12.0,323.9666097461155
4387,Sege Airport,Sege,Solomon Islands,EGM,-8.578889846801758,157.87600708007812,1373537.0,669823.0,23.1805,EGM,41.0,33500.9
4389,Kangra Airport,Kangra,India,DHM,32.16510009765625,76.26339721679688,67199.0,1366417754.0,415.629,DHM,108.0,622.2069492666269
4392,Igiugig Airport,Igiugig,United States,IGG,59.32400131225586,-155.90199279785156,1679.0,329064917.0,35.1092,IGG,20.0,83.9063031819231
4394,King Cove Airport,King Cove,United States,KVC,55.11629867553711,-162.26600646972656,1846.0,329064917.0,35.1092,KVC,22.0,83.9063031819231
4395,Port Heiden Airport,Port Heiden,United States,PTH,56.95909881591797,-158.63299560546875,1846.0,329064917.0,35.1092,PTH,22.0,83.9063031819231
4396,Togiak Airport,Togiak Village,United States,TOG,59.05279922485352,-160.39700317382812,1846.0,329064917.0,35.1092,TOG,22.0,83.9063031819231
4397,Geneina Airport,Geneina,Sudan,EGN,13.48169994354248,22.467199325561523,242804.0,42813238.0,22.6997,EGN,74.0,3281.1337868480728
4398,Long Akah Airport,Long Akah,Malaysia,LKH,3.2999999523162837,114.78299713134766,3392.0,31949777.0,96.5825,LKH,12.0,282.6151892729074
4399,Walaha Airport,Walaha,Vanuatu,WLH,-15.4119997025,167.690994263,6086.0,299882.0,24.6027,WLH,14.0,434.67313712085775
4400,Chaoyang Airport,Chaoyang,China,CHG,41.538101,120.434998,539052.0,1433783686.0,147.7068,CHG,74.0,423.24810425698024
